epoch,correct-output,logic-correct-output,unsatisfied,examples,crispness
1,0.8041999936103821,0.5970999598503113,18595.294921875,6355.42626953125,84270.1484375
2,0.8262999653816223,0.6262999773025513,16497.599609375,5734.33984375,76004.1171875
3,0.8474999666213989,0.6747999787330627,14739.859375,5915.408203125,66288.078125
4,0.8876000046730042,0.7182999849319458,13293.779296875,6303.66943359375,57058.66796875
5,0.9376999735832214,0.758899986743927,12737.6796875,6413.4296875,49083.09765625
6,0.9453999996185304,0.8175999522209167,11849.6171875,6757.4599609375,42338.140625
7,0.9479999542236328,0.8484999537467957,11194.490234375,7227.314453125,36764.1796875
8,0.9513999819755554,0.8639000058174133,10807.7744140625,7729.51171875,32309.1171875
9,0.9537999629974364,0.8752999901771545,10536.9755859375,8227.9931640625,28763.98046875
10,0.9560999870300292,0.8833999633789062,10352.7939453125,8741.736328125,25820.96484375
11,0.9580999612808228,0.8883999586105347,10229.6484375,9246.775390625,23275.216796875
12,0.958299994468689,0.8930000066757202,10041.271484375,9690.8388671875,21142.216796875
13,0.958299994468689,0.8966999650001526,9958.0107421875,10146.994140625,19374.544921875
14,0.9590999484062196,0.8996999859809875,9884.5732421875,10529.75390625,17895.025390625
15,0.9601999521255492,0.9002999663352966,9779.0810546875,10870.849609375,16615.439453125
16,0.9608999490737916,0.9020999670028688,9730.3955078125,11163.4609375,15555.923828125
17,0.9617999792099,0.9049999713897704,9778.7568359375,11428.0673828125,14703.8740234375
18,0.9625999927520752,0.9061999917030334,9752.927734375,11627.431640625,13979.1611328125
19,0.9646999835968018,0.9075999855995178,9741.375,11830.5810546875,13364.7275390625
20,0.9643999934196472,0.9088999629020692,9731.1484375,12021.7216796875,12822.615234375
21,0.9655999541282654,0.9107999801635742,9696.6337890625,12139.51953125,12364.8125
22,0.9652999639511108,0.9104999899864196,9600.0087890625,12322.654296875,11966.025390625
23,0.9648000001907348,0.9102999567985536,9716.6708984375,12455.544921875,11588.77734375
24,0.9672999978065492,0.91239994764328,9425.0234375,12494.439453125,11277.91796875
25,0.9652999639511108,0.911799967288971,9623.7353515625,12660.8505859375,10978.70703125
26,0.9659000039100648,0.9133999943733216,9579.0791015625,12744.5322265625,10698.8701171875
27,0.9662999510765076,0.9146999716758728,9884.74609375,12835.544921875,10431.5791015625
28,0.9687999486923218,0.913599967956543,9552.583984375,12660.92578125,10167.4462890625
29,0.9695000052452089,0.9125999808311462,9612.51171875,12801.44140625,9951.98828125
30,0.9682999849319458,0.9138000011444092,9518.130859375,12870.7236328125,9783.818359375
31,0.968999981880188,0.9143999814987184,9623.1083984375,12782.62109375,9614.6689453125
32,0.9685999751091005,0.912999987602234,9553.26171875,12766.728515625,9473.8203125
33,0.9673999547958374,0.9156000018119812,9801.341796875,12902.28125,9362.6640625
34,0.9684999585151672,0.9140999913215636,9486.310546875,12791.8876953125,9262.560546875
35,0.9639999866485596,0.9158999919891356,9558.3662109375,12877.2109375,9150.7216796875
36,0.9695999622344972,0.914900004863739,9588.1953125,12981.0263671875,9033.9296875
37,0.9698999524116516,0.91349995136261,9507.0947265625,12802.7919921875,8922.224609375
38,0.9685999751091005,0.9145999550819396,9636.8369140625,12801.4462890625,8827.400390625
39,0.9713999629020692,0.9138000011444092,9514.7041015625,12737.3759765625,8748.90625
40,0.9677000045776368,0.914799988269806,9663.810546875,12874.09765625,8686.2958984375
